year,team,home_away_total,type_rating,points,game_id,date
2007,Atalanta,total,dynamic_ft_total,1,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total,1,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total,0,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total,3,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total,3,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total,0,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total,0,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total,1,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total,0,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total,0,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total,3,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total,0,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total,1,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total,3,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total,0,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total,0,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total,0,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total,1,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total,0,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total,3,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,home,dynamic_ft_home,0,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,home,dynamic_ft_home,0,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,home,dynamic_ft_home,1,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,home,dynamic_ft_home,0,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,home,dynamic_ft_home,0,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,home,dynamic_ft_home,3,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,away,dynamic_ft_away,1,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,away,dynamic_ft_away,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,away,dynamic_ft_away,1,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,away,dynamic_ft_away,0,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,away,dynamic_ft_away,3,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,away,dynamic_ft_away,3,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,away,dynamic_ft_away,0,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,away,dynamic_ft_away,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,away,dynamic_ft_away,1,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,away,dynamic_ft_away,0,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,away,dynamic_ft_away,3,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,away,dynamic_ft_away,0,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,away,dynamic_ft_away,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,away,dynamic_ft_away,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,away,dynamic_ft_away,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,away,dynamic_ft_away,3,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,away,dynamic_ft_away,0,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,away,dynamic_ft_away,1,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,away,dynamic_ft_away,0,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>15,1,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>15,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>15,1,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>15,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>15,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>15,1,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>15,1,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>15,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>15,1,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>15,1,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>15,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>15,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>15,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>15,1,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total_g>15,1,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total_g>15,0,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total_g>15,1,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,total,dynamic_ft_total_g>25,0,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>25,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>25,0,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>25,1,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>25,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>25,1,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>25,1,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>25,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>25,0,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>25,1,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>25,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>25,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>25,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>25,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>25,1,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total_g>25,0,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total_g>25,0,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total_g>25,1,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,total,dynamic_ft_total_g>35,0,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>35,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>35,0,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>35,0,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>35,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>35,0,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>35,0,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>35,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>35,0,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>35,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>35,0,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>35,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>35,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>35,0,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total_g>35,0,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total_g>35,0,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total_g>35,0,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,total,dynamic_ft_total_g>15,1,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>15,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>15,1,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>15,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>15,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>15,1,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>15,1,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>15,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>15,1,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>15,1,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>15,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>15,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>15,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>15,1,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total_g>15,1,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total_g>15,0,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total_g>15,1,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>15,1,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,total,dynamic_ft_total_g>25,0,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>25,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>25,0,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>25,1,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>25,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>25,1,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>25,1,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>25,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>25,0,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>25,1,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>25,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>25,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>25,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>25,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>25,1,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Inter_2007,2008-04-06
2007,Atalanta,total,dynamic_ft_total_g>25,0,Napoli_Atalanta_2007,2008-04-13
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Juventus_2007,2008-04-20
2007,Atalanta,total,dynamic_ft_total_g>25,0,Palermo_Atalanta_2007,2008-04-27
2007,Atalanta,total,dynamic_ft_total_g>25,1,Atalanta_Livorno_2007,2008-05-04
2007,Atalanta,total,dynamic_ft_total_g>25,1,Roma_Atalanta_2007,2008-05-11
2007,Atalanta,total,dynamic_ft_total_g>25,0,Atalanta_Genoa_2007,2008-05-18
2007,Atalanta,total,dynamic_ft_total_g>35,0,Reggina_Atalanta_2007,2007-08-26
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Parma_2007,2007-09-02
2007,Atalanta,total,dynamic_ft_total_g>35,1,Fiorentina_Atalanta_2007,2007-09-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Lazio_2007,2007-09-23
2007,Atalanta,total,dynamic_ft_total_g>35,0,Siena_Atalanta_2007,2007-09-26
2007,Atalanta,total,dynamic_ft_total_g>35,0,Sampdoria_Atalanta_2007,2007-09-30
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Udinese_2007,2007-10-06
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Torino_2007,2007-10-21
2007,Atalanta,total,dynamic_ft_total_g>35,0,Empoli_Atalanta_2007,2007-10-28
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Cagliari_2007,2007-10-31
2007,Atalanta,total,dynamic_ft_total_g>35,0,Catania_Atalanta_2007,2007-11-04
2007,Atalanta,total,dynamic_ft_total_g>35,0,Inter_Atalanta_2007,2007-11-24
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Napoli_2007,2007-12-02
2007,Atalanta,total,dynamic_ft_total_g>35,0,Juventus_Atalanta_2007,2007-12-09
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Palermo_2007,2007-12-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Livorno_Atalanta_2007,2007-12-23
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Roma_2007,2008-01-13
2007,Atalanta,total,dynamic_ft_total_g>35,0,Genoa_Atalanta_2007,2008-01-19
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Milan_2007,2008-01-23
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Reggina_2007,2008-01-27
2007,Atalanta,total,dynamic_ft_total_g>35,1,Parma_Atalanta_2007,2008-02-03
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Fiorentina_2007,2008-02-09
2007,Atalanta,total,dynamic_ft_total_g>35,0,Lazio_Atalanta_2007,2008-02-17
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Siena_2007,2008-02-24
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Sampdoria_2007,2008-02-27
2007,Atalanta,total,dynamic_ft_total_g>35,0,Udinese_Atalanta_2007,2008-03-02
2007,Atalanta,total,dynamic_ft_total_g>35,0,Torino_Atalanta_2007,2008-03-09
2007,Atalanta,total,dynamic_ft_total_g>35,1,Atalanta_Empoli_2007,2008-03-16
2007,Atalanta,total,dynamic_ft_total_g>35,0,Cagliari_Atalanta_2007,2008-03-19
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Catania_2007,2008-03-22
2007,Atalanta,total,dynamic_ft_total_g>35,0,Milan_Atalanta_2007,2008-03-30
2007,Atalanta,total,dynamic_ft_total_g>35,0,Atalanta_Inter_2007,2008-04-06
